date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:38	23852/23852	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202024%2000:39:39%20GMT	https://lesson1.guru/go/slope.html	C:/Users/gugui/Downloads/slope_game/lesson1.guru/go/slope.html	(from )
20:39:38	206/206	---MC-	302	error ('Found')	text/html	date:Sat,%2028%20Sep%202024%2000:39:39%20GMT	https://lesson1.guru/robots.txt		(from )
20:39:40	206/206	---MC-	302	error ('Found')	text/html	date:Sat,%2028%20Sep%202024%2000:39:41%20GMT	https://lesson1.guru/go/files/image/slope.png	C:/Users/gugui/Downloads/slope_game/lesson1.guru/go/files/image/slope.png	(from https://lesson1.guru/go/slope.html)
20:39:42	8009/8009	---MCZ	200	added ('OK')	text/css	etag:W/%225e298244-1f49%22	https://lesson1.guru/assets/css/custom.css?1727483979	C:/Users/gugui/Downloads/slope_game/lesson1.guru/assets/css/custom238d.css	(from https://lesson1.guru/go/slope.html)
20:39:43	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%22a15c2ac3234aa8f6064ef9c1f7383c37%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/Users/gugui/Downloads/slope_game/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://lesson1.guru/go/slope.html)
20:39:43	1304/1304	---MCZ	200	added ('OK')	text/css	etag:W/%225e298244-518%22	https://lesson1.guru/assets/css/responsive.css?1727483979	C:/Users/gugui/Downloads/slope_game/lesson1.guru/assets/css/responsive238d.css	(from https://lesson1.guru/go/slope.html)
20:39:44	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/Users/gugui/Downloads/slope_game/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://lesson1.guru/go/slope.html)
20:39:48	6929/6929	---MCZ	200	added ('OK')	image/png	etag:W/%225e298252-1b11%22	https://lesson1.guru/assets/images/logo.png	C:/Users/gugui/Downloads/slope_game/lesson1.guru/assets/images/logo.png	(from https://lesson1.guru/go/slope.html)
20:39:52	10270/10270	---MCZ	200	added ('OK')	image/jpeg	etag:W/%226669a9b1-281e%22	https://lesson1.guru/files/image/happy-wheels.jpeg	C:/Users/gugui/Downloads/slope_game/lesson1.guru/files/image/happy-wheels.jpg	(from https://lesson1.guru/go/slope.html)
20:39:53	280364/280364	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-4472c%22	https://code.jquery.com/jquery-3.4.1.js	C:/Users/gugui/Downloads/slope_game/code.jquery.com/jquery-3.4.1.js	(from https://lesson1.guru/go/slope.html)
20:40:00	662305/662305	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266f6775f-a1b21%22	http://api.adinplay.com/libs/aiptag/pub/AGV/play-unblocked.github.io/tag.min.js	C:/Users/gugui/Downloads/slope_game/api.adinplay.com/libs/aiptag/pub/AGV/play-unblocked.github.io/tag.min.js	(from https://lesson1.guru/go/slope.html)
20:40:01	208040/208040	---MCZ	200	added ('OK')	image/png	etag:W/%226669a5ec-32ca8%22	https://lesson1.guru/files/image/slope.png	C:/Users/gugui/Downloads/slope_game/lesson1.guru/files/image/slope.png	(from https://lesson1.guru/go/slope.html)
20:40:01	185748/185748	---M--	200	added ('OK')	text/javascript	etag:8628876287132024143	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-7667920842875714	C:/Users/gugui/Downloads/slope_game/pagead2.googlesyndication.com/pagead/js/feb1f.txt	(from https://lesson1.guru/go/slope.html)
20:40:01	253353/253353	---MCZ	200	added ('OK')	image/png	etag:W/%226669af9e-3dda9%22	https://lesson1.guru/files/image/geometry-dash.png	C:/Users/gugui/Downloads/slope_game/lesson1.guru/files/image/geometry-dash.png	(from https://lesson1.guru/go/slope.html)
20:40:02	47901/47901	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225e29a66a-bb1d%22	https://retrobowl.blog/image/kategori/ikon/2-player_5e297c3ac2b2a.jpg	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/2-player_5e297c3ac2b2a.jpg	(from https://lesson1.guru/go/slope.html)
20:40:02	58644/58644	---MCZ	200	added ('OK')	image/png	etag:W/%225e29b7cc-e514%22	https://retrobowl.blog/image/kategori/ikon/action-games_5e298d9c94e18.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/action-games_5e298d9c94e18.png	(from https://lesson1.guru/go/slope.html)
20:40:02	2304/2304	---MCZ	200	added ('OK')	image/png	etag:W/%225e29be80-900%22	https://retrobowl.blog/image/kategori/ikon/adventure-games_5e299450295a3.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/adventure-games_5e299450295a3.png	(from https://lesson1.guru/go/slope.html)
20:40:02	33784/33784	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225e29c426-83f8%22	https://retrobowl.blog/image/kategori/ikon/animal-games_5e2999f77a16e.jpg	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/animal-games_5e2999f77a16e.jpg	(from https://lesson1.guru/go/slope.html)
20:40:02	139629/139629	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225e29d17c-2216d%22	https://retrobowl.blog/image/kategori/ikon/arcade-games_5e29a74cd0b4d.jpg	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/arcade-games_5e29a74cd0b4d.jpg	(from https://lesson1.guru/go/slope.html)
20:40:03	53783/53783	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225e29cc20-d217%22	https://retrobowl.blog/image/kategori/ikon/board-games_5e29a1f03b2d1.jpg	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/board-games_5e29a1f03b2d1.jpg	(from https://lesson1.guru/go/slope.html)
20:40:03	3406/3406	---MCZ	200	added ('OK')	image/png	etag:W/%225e29d384-d4e%22	https://retrobowl.blog/image/kategori/ikon/car-games_5e29a954d8a91.png	C:/Users/gugui/Downloads/slope_game/retrobowl.blog/image/kategori/ikon/car-games_5e29a954d8a91.png	(from https://lesson1.guru/go/slope.html)
